y_measured,v_filtered,x1m,x2m,error,u,theta1,theta2,uc
4.457938075065612793e-01,1.699346780776977539e+00,4.485468566417694092e-01,2.468057394027709961e+00,2.753049135208129883e-03,-8.646423816680908203e-01,-1.759107470512390137e+00,-2.220766842365264893e-01,1.151883363723754883e+00
6.462514400482177734e-01,2.400103092193603516e+00,6.096565723419189453e-01,2.636793613433837891e+00,-3.659486770629882812e-02,-9.090774059295654297e-01,-1.758610606193542480e+00,-2.225870639085769653e-01,1.466033220291137695e+00
8.556847572326660156e-01,2.841953754425048828e+00,7.863709926605224609e-01,2.955605745315551758e+00,-6.931376457214355469e-02,-1.177406787872314453e+00,-1.757454156875610352e+00,-2.241332381963729858e-01,1.884900093078613281e+00
1.086061477661132812e+00,3.234194993972778320e+00,9.905155897140502930e-01,3.495928764343261719e+00,-9.554588794708251953e-02,-6.790316104888916016e-01,-1.755594968795776367e+00,-2.272773236036300659e-01,1.884900093078613281e+00
1.334389567375183105e+00,3.577633619308471680e+00,1.214253187179565430e+00,3.600469350814819336e+00,-1.201363801956176758e-01,-1.103198409080505371e+00,-1.752969980239868164e+00,-2.326864749193191528e-01,2.425935983657836914e+00
1.588701486587524414e+00,3.805967330932617188e+00,1.457392811775207520e+00,4.091666221618652344e+00,-1.313086748123168945e-01,-1.530470013618469238e+00,-1.749770522117614746e+00,-2.402807027101516724e-01,2.966972112655639648e+00
1.893875718116760254e+00,4.306365966796875000e+00,1.739504218101501465e+00,4.824895858764648438e+00,-1.543715000152587891e-01,-8.429358005523681641e-01,-1.745646953582763672e+00,-2.512190639972686768e-01,2.966972112655639648e+00
2.222985267639160156e+00,4.752193450927734375e+00,2.047981023788452148e+00,4.960050582885742188e+00,-1.750042438507080078e-01,-4.095604419708251953e-01,-1.740699887275695801e+00,-2.659076750278472900e-01,3.141499757766723633e+00
2.534143447875976562e+00,4.857372283935546875e+00,2.357723236083984375e+00,4.876791954040527344e+00,-1.764202117919921875e-01,2.172672748565673828e-02,-1.735626339912414551e+00,-2.829346656799316406e-01,3.263669490814208984e+00
2.797430992126464844e+00,4.557746887207031250e+00,2.654849052429199219e+00,4.571564674377441406e+00,-1.425819396972656250e-01,4.803287386894226074e-01,-1.731640577316284180e+00,-2.982568144798278809e-01,3.263669490814208984e+00
2.982928991317749023e+00,3.818976640701293945e+00,2.922841787338256836e+00,3.968080043792724609e+00,-6.008720397949218750e-02,3.506750464439392090e-01,-1.730078458786010742e+00,-3.051789402961730957e-01,3.438197135925292969e+00
3.093629598617553711e+00,2.867379426956176758e+00,3.154865264892578125e+00,3.426974058151245117e+00,6.123566627502441406e-02,2.185454368591308594e-01,-1.731503248214721680e+00,-2.979421019554138184e-01,3.473102807998657227e+00
3.141499996185302734e+00,1.890834331512451172e+00,3.349678516387939453e+00,2.792224884033203125e+00,2.081785202026367188e-01,-1.081222295761108398e-02,-1.735681414604187012e+00,-2.739136517047882080e-01,3.473102807998657227e+00
3.144491910934448242e+00,1.034409165382385254e+00,3.502437591552734375e+00,2.095698118209838867e+00,3.579456806182861328e-01,-2.870250344276428223e-01,-1.741676449775695801e+00,-2.356859743595123291e-01,3.473102807998657227e+00
3.144491910934448242e+00,5.537192225456237793e-01,3.611722469329833984e+00,1.411920547485351562e+00,4.672305583953857422e-01,-4.418300390243530273e-01,-1.748034596443176270e+00,-1.921269744634628296e-01,3.473102807998657227e+00
3.144491910934448242e+00,2.964059114456176758e-01,3.680110454559326172e+00,7.943537235260009766e-01,5.356185436248779297e-01,-5.174756050109863281e-01,-1.753852605819702148e+00,-1.511976569890975952e-01,3.473102807998657227e+00
3.144491910934448242e+00,1.586660891771316528e-01,3.712889194488525391e+00,2.766013145446777344e-01,5.683972835540771484e-01,-5.523451566696166992e-01,-1.758759617805480957e+00,-1.181036159396171570e-01,3.473102807998657227e+00
3.147483825683593750e+00,1.071794480085372925e-01,3.716889858245849609e+00,-1.250543594360351562e-01,5.694060325622558594e-01,-5.293321013450622559e-01,-1.762714147567749023e+00,-9.513117372989654541e-02,3.455650091171264648e+00
3.147483825683593750e+00,5.737315863370895386e-02,3.698739528656005859e+00,-4.313993453979492188e-01,5.512557029724121094e-01,-5.377510190010070801e-01,-1.765896558761596680e+00,-8.185879141092300415e-02,3.455650091171264648e+00
3.147483825683593750e+00,3.071185201406478882e-02,3.665206432342529297e+00,-6.194925308227539062e-01,5.177226066589355469e-01,-5.724954009056091309e-01,-1.768534541130065918e+00,-7.654573768377304077e-02,3.473102807998657227e+00
3.147483825683593750e+00,1.644005440175533295e-02,3.623972415924072266e+00,-6.823897361755371094e-01,4.764885902404785156e-01,-5.437442660331726074e-01,-1.770837783813476562e+00,-7.685523480176925659e-02,3.455650091171264648e+00
3.147483825683593750e+00,8.800361305475234985e-03,3.580459117889404297e+00,-6.945357322692871094e-01,4.329752922058105469e-01,-5.450360774993896484e-01,-1.772951126098632812e+00,-8.055834472179412842e-02,3.455650091171264648e+00
3.147483825683593750e+00,4.710833542048931122e-03,3.538210391998291016e+00,-6.455059051513671875e-01,3.907265663146972656e-01,-2.674976289272308350e-01,-1.774896383285522461e+00,-8.587584644556045532e-02,3.298574924468994141e+00
3.147483825683593750e+00,2.521709306165575981e-03,3.493526458740234375e+00,-7.631378173828125000e-01,3.460426330566406250e-01,8.781895637512207031e-01,-1.776364803314208984e+00,-9.147102385759353638e-02,2.652822256088256836e+00
3.120556592941284180e+00,-1.988594830036163330e-01,3.416322946548461914e+00,-1.637973546981811523e+00,2.957663536071777344e-01,8.126769065856933594e-01,-1.777060866355895996e+00,-9.647294878959655762e-02,2.652822256088256836e+00
3.057726621627807617e+00,-5.736029148101806641e-01,3.296300888061523438e+00,-2.141626119613647461e+00,2.385742664337158203e-01,1.377539515495300293e+00,-1.776925206184387207e+00,-1.004981249570846558e-01,2.251408338546752930e+00
2.947026252746582031e+00,-1.130129098892211914e+00,3.137367725372314453e+00,-2.861691236495971680e+00,1.903414726257324219e-01,1.618681669235229492e+00,-1.776064872741699219e+00,-1.037797629833221436e-01,1.972163915634155273e+00
2.740584850311279297e+00,-2.139891386032104492e+00,2.935146808624267578e+00,-3.518931627273559570e+00,1.945619583129882812e-01,1.142688035964965820e+00,-1.774345636367797852e+00,-1.075798645615577698e-01,1.972163915634155273e+00
2.471313238143920898e+00,-3.147572040557861328e+00,2.707074165344238281e+00,-3.706942319869995117e+00,2.357609272003173828e-01,9.496225118637084961e-01,-1.771325469017028809e+00,-1.135057806968688965e-01,1.745277762413024902e+00
2.184090375900268555e+00,-3.820455074310302734e+00,2.469131469726562500e+00,-3.835516452789306641e+00,2.850410938262939453e-01,7.146108150482177734e-01,-1.766742944717407227e+00,-1.233185082674026489e-01,1.535844445228576660e+00
1.902851462364196777e+00,-4.136157035827636719e+00,2.225654125213623047e+00,-3.886883258819580078e+00,3.228026628494262695e-01,1.383423209190368652e-01,-1.760877847671508789e+00,-1.383768618106842041e-01,1.535844445228576660e+00
1.648539543151855469e+00,-4.104945182800292969e+00,1.990128159523010254e+00,-3.601049423217773438e+00,3.415886163711547852e-01,9.139609336853027344e-02,-1.754401206970214844e+00,-1.589669734239578247e-01,1.274052739143371582e+00
1.448081851005554199e+00,-3.687820434570312500e+00,1.768554329872131348e+00,-3.437865734100341797e+00,3.204724788665771484e-01,1.477436423301696777e-01,-1.748380184173583984e+00,-1.824619472026824951e-01,1.029713869094848633e+00
1.292502880096435547e+00,-3.130851268768310547e+00,1.554608464241027832e+00,-3.354959964752197266e+00,2.621055841445922852e-01,-1.118061244487762451e-01,-1.743714928627014160e+00,-2.044293135404586792e-01,1.029713869094848633e+00
1.184794306755065918e+00,-2.476779460906982422e+00,1.354411721229553223e+00,-3.015164375305175781e+00,1.696174144744873047e-01,-8.374699950218200684e-02,-1.740980863571166992e+00,-2.197480946779251099e-01,9.424500465393066406e-01
1.124956130981445312e+00,-1.770728945732116699e+00,1.177108764648437500e+00,-2.630886316299438477e+00,5.215263366699218750e-02,5.016517639160156250e-02,-1.740247368812561035e+00,-2.245427817106246948e-01,8.726388812065124512e-01
1.109996676445007324e+00,-1.059097766876220703e+00,1.024809718132019043e+00,-2.222999811172485352e+00,-8.518695831298828125e-02,1.752485334873199463e-01,-1.741261005401611328e+00,-2.170141488313674927e-01,8.726388812065124512e-01
1.112988591194152832e+00,-5.446895360946655273e-01,9.007219076156616211e-01,-1.739625930786132812e+00,-2.122666835784912109e-01,2.699162960052490234e-01,-1.743341684341430664e+00,-2.000196576118469238e-01,8.900917172431945801e-01
1.112988591194152832e+00,-2.915723323822021484e-01,8.083599805831909180e-01,-1.218200802803039551e+00,-3.046286106109619141e-01,3.302652239799499512e-01,-1.745753407478332520e+00,-1.792520135641098022e-01,8.900917172431945801e-01
1.112988591194152832e+00,-1.560786813497543335e-01,7.475799322128295898e-01,-7.353526353836059570e-01,-3.654086589813232422e-01,3.611455559730529785e-01,-1.748070955276489258e+00,-1.594238877296447754e-01,8.900917172431945801e-01
1.112988591194152832e+00,-8.354891836643218994e-02,7.149612903594970703e-01,-3.208955526351928711e-01,-3.980273008346557617e-01,3.763198554515838623e-01,-1.750111341476440430e+00,-1.435756683349609375e-01,8.900917172431945801e-01
1.112988591194152832e+00,-4.472373798489570618e-02,7.056587934494018555e-01,9.048342704772949219e-03,-4.073297977447509766e-01,3.836731016635894775e-01,-1.751852154731750488e+00,-1.329576969146728516e-01,8.900917172431945801e-01
